201200,0.0084
201201,0.0743
201202,0.0079
201203,0.0209
201204,0.0105
201206,0.0079
201207,0.0079
201208,0.0106
201209,0.0084
201210,0.0107
201211,0.0743
201212,0.0104
201213,0.0079
201214,0.0106
201215,0.019
201216,0.0084
201217,0.0084
201218,0.0106
201219,0.0079
201220,0.0106
201221,0.0166
201222,0.0084
201223,0.0084
201224,0.0084
201225,0.0128
201226,0.0084
201227,0.0084
201228,0.0157
201229,0.0084
201230,0.0079
201231,0.0136
201232,0.0079
201233,0.0089
201234,0.0106
201235,0.0102
201236,0.0084
201237,0.0079
201238,0.0106
201239,0.0084
201240,0.0079
201241,0.0079
201242,0.0084
201243,0.0106
201244,0.0128
201245,0.0106
201246,0.0106
201247,0.0079
201248,0.0079
201249,0.0091
201251,0.0084
201252,0.0164
201253,0.0106
201254,0.0163
201255,0.0107
201256,0.0164
201257,0.0163
201258,0.0141
201259,0.0079
201260,0.0743
201261,0.0084
201262,0.0084
201263,0.0128
201264,0.0079
201265,0.0084
201266,0.0163
201267,0.0094
201269,0.0084
201270,0.0166
201271,0.0084
201272,0.0094
201274,0.0079
201276,0.0079
201277,0.0079
201278,0.0079
201279,0.012
201280,0.0079
201281,0.0089
201282,0.0106
201283,0.0174
201284,0.0106
201285,0.015
201286,0.0106
201287,0.0084
201288,0.0084
201289,0.0106
201290,0.0106
201291,0.0084
201292,0.0091
201293,0.0107
201294,0.0106
201295,0.0084
201296,0.0084
201297,0.0106
201298,0.0164
201299,0.0106
201300,0.0106
201301,0.0106
201302,0.0084
201303,0.0106
201304,0.0167
201305,0.0107
201306,0.0079
201307,0.0084
201308,0.0141
201309,0.0084
201310,0.0106
201311,0.0743
201312,0.0167
201313,0.0089
201314,0.0106
201315,0.0106
201316,0.0146
201317,0.0079
201318,0.0107
201319,0.0084
201320,0.0079
201321,0.0079
201322,0.0106
201323,0.0106
201324,0.0084
201325,0.0084
201326,0.0106
201327,0.0084
201328,0.0106
201329,0.0084
201330,0.0084
201331,0.0106
201332,0.0084
201333,0.0084
201334,0.0186
201335,0.0166
201336,0.0128
201337,0.0084
201338,0.0166
201339,0.0084
201340,0.0168
201341,0.0079
201342,0.0084
201343,0.0084
201344,0.0079
201345,0.0094
201346,0.0084
201347,0.0094
201348,0.0084
201349,0.0089
201350,0.0106
201351,0.0091
201352,0.0094
201353,0.0127
201354,0.0091
201355,0.0147
201356,0.0107
201357,0.015
201358,0.0084
201359,0.0136
201360,0.0107
201361,0.0136
201362,0.0079
201363,0.0084
201365,0.0147
201367,0.0094
201368,0.0084
201369,0.0084
201370,0.0079
201371,0.0129
201372,0.0084
201373,0.0116
201374,0.0094
201375,0.0094
201376,0.0079
201377,0.0107
201378,0.0107
201379,0.0107
201382,0.0079
201383,0.0094
201384,0.0084
201385,0.0084
201386,0.0084
201387,0.0084
201388,0.0079
201389,0.0129
201390,0.0079
201391,0.0084
201392,0.0084
201393,0.0084
201394,0.0079
201395,0.0084
201396,0.0079
201398,0.0084
201399,0.0106
201400,0.0079
201401,0.0079
201402,0.0094
201403,0.0091
201404,0.0106
201405,0.0084
201406,0.0106
201407,0.0079
201408,0.0094
201409,0.0079
201410,0.0079
201411,0.0743
201412,0.0106
201413,0.0084
201414,0.0094
201415,0.0106
201416,0.0166
201417,0.0106
201418,0.0084
201419,0.012
201420,0.0084
201421,0.0164
201422,0.0084
201424,0.0079
201425,0.0094
201426,0.0164
201427,0.0147
201428,0.0094
201429,0.0094
201430,0.0107
201431,0.015
201432,0.0084
201433,0.0084
201434,0.0084
201435,0.0084
201436,0.0084
201437,0.0084
201438,0.0084
201439,0.0116
201440,0.0084
201441,0.0084
201442,0.0107
201443,0.0107
201444,0.0084
201445,0.0084
201446,0.0079
